Date,Order ID,Customer ID,Product Category,Product Name,Region,Units Sold,Unit Price,Payment Mode,Delivery Status
2024-02-27,OID10129,CID5073,Footwear,Sandals,East,1,1455,Debit Card,Delivered
2024-01-05,OID10130,CID5707,Clothing,T-shirt,North,3,1700,Net Banking,In Transit
2024-12-25,OID10131,CID5830,Electronics,Tablet,North,4,35252,COD,Returned
2024-04-07,OID10132,CID5733,Clothing,T-shirt,North,2,1450,Credit Card,Returned
2024-02-01,OID10133,CID8478,Books,Textbook,East,3,1953,UPI,Cancelled
2024-11-09,OID10134,CID7659,Home Appliances,Mixer,West,5,633,Net Banking,Delivered
2024-12-26,OID10135,CID6637,Clothing,T-shirt,West,3,772,Debit Card,Delivered
2025-05-20,OID10136,CID5439,Clothing,Jacket,East,3,1501,UPI,Delivered
2025-04-22,OID10137,CID5076,Books,Textbook,East,3,1507,Credit Card,Cancelled
2024-12-17,OID10138,CID8229,Footwear,Sandals,North,4,1983,Debit Card,Cancelled
2024-12-02,OID10139,CID7257,Clothing,T-shirt,West,5,1029,COD,Delivered
2025-04-11,OID10140,CID6016,Home Appliances,Refrigerator,West,2,1003,Credit Card,Delivered
2024-08-24,OID10141,CID8217,Electronics,Smartwatch,West,2,33357,Debit Card,Cancelled
2025-03-18,OID10142,CID5624,Footwear,Slippers,South,2,657,Credit Card,Returned
2024-05-01,OID10143,CID8009,Books,Magazine,West,3,1693,UPI,Delivered
2025-06-02,OID10144,CID7157,Grocery,Rice,North,4,1762,Net Banking,In Transit
2024-10-19,OID10145,CID8585,Books,Notebook,West,2,1192,Net Banking,Cancelled
2024-10-27,OID10146,CID8219,Clothing,T-shirt,North,2,1088,Debit Card,Cancelled
2024-10-14,OID10147,CID8811,Home Appliances,Microwave,North,2,1780,UPI,Cancelled
2024-10-08,OID10148,CID7512,Grocery,Milk,North,3,1642,Credit Card,In Transit
2024-07-22,OID10149,CID9691,Grocery,Rice,North,1,1064,Debit Card,Returned
2024-10-04,OID10150,CID6377,Footwear,Slippers,South,2,318,UPI,Delivered
2025-03-27,OID10151,CID8418,Home Appliances,Refrigerator,East,3,411,Debit Card,Cancelled
2024-10-19,OID10152,CID8351,Electronics,Laptop,West,5,42673,Net Banking,Returned
2024-11-13,OID10153,CID9868,Clothing,Kurta,West,5,953,COD,In Transit
2025-06-24,OID10154,CID7835,Books,Textbook,East,1,1605,Debit Card,Delivered
2025-04-13,OID10155,CID9600,Books,Textbook,West,4,451,Debit Card,Cancelled
2024-03-30,OID10156,CID8225,Electronics,Mobile,South,1,16377,Net Banking,Returned
2024-01-04,OID10157,CID5852,Home Appliances,Washing Machine,South,2,1796,Credit Card,Delivered
2024-01-10,OID10158,CID5901,Grocery,Rice,West,5,743,UPI,In Transit
2024-04-14,OID10159,CID8617,Home Appliances,Washing Machine,South,1,1293,Net Banking,Delivered
2024-11-21,OID10160,CID7866,Clothing,Kurta,West,2,1932,UPI,Delivered
2024-09-08,OID10161,CID8836,Grocery,Wheat,East,2,1921,Debit Card,Returned
2025-04-22,OID10162,CID7608,Books,Novel,West,5,388,COD,Delivered
2024-08-26,OID10163,CID7780,Grocery,Wheat,West,3,331,COD,Returned
2024-07-04,OID10164,CID9596,Clothing,Jacket,North,3,142,Debit Card,Returned
2024-08-21,OID10165,CID7622,Grocery,Snacks,North,2,289,Net Banking,Returned
2025-04-03,OID10166,CID5921,Footwear,Shoes,West,1,1014,Debit Card,In Transit
2024-08-02,OID10167,CID7420,Home Appliances,Refrigerator,East,4,473,Credit Card,Delivered
2024-07-25,OID10168,CID7286,Books,Notebook,East,1,589,Debit Card,Returned
2024-02-08,OID10169,CID6614,Books,Novel,South,2,1074,UPI,In Transit
2025-04-18,OID10170,CID7465,Electronics,Tablet,West,1,8876,Credit Card,Delivered
2024-05-26,OID10171,CID7555,Home Appliances,Mixer,North,3,1293,Debit Card,Returned
2024-12-08,OID10172,CID6305,Clothing,T-shirt,North,2,1784,Net Banking,Cancelled
2024-10-17,OID10173,CID5155,Home Appliances,Washing Machine,South,2,533,Net Banking,In Transit
2024-05-26,OID10174,CID7660,Home Appliances,Microwave,West,1,1049,Credit Card,Returned
2024-08-06,OID10175,CID8548,Footwear,Shoes,North,4,130,COD,Delivered
2025-06-22,OID10176,CID8880,Grocery,Milk,East,2,1734,COD,In Transit
2024-09-16,OID10177,CID7422,Home Appliances,Mixer,South,1,780,Credit Card,Delivered
2024-06-10,OID10178,CID6785,Home Appliances,Mixer,North,2,1674,COD,Returned
2024-04-26,OID10179,CID8688,Grocery,Snacks,East,1,224,UPI,Cancelled
2024-01-04,OID10180,CID5395,Footwear,Shoes,South,3,769,Debit Card,Returned
2024-11-22,OID10181,CID9927,Clothing,Jacket,North,1,1805,Net Banking,Cancelled
2024-07-10,OID10182,CID9905,Books,Notebook,West,4,1055,COD,Returned
2024-08-22,OID10183,CID9460,Grocery,Wheat,East,1,1380,Credit Card,Delivered
2025-02-18,OID10184,CID7414,Home Appliances,Microwave,South,2,872,Net Banking,Returned
2024-03-10,OID10185,CID9665,Books,Textbook,South,3,1897,Net Banking,Returned
2025-03-30,OID10186,CID6376,Clothing,T-shirt,North,5,824,Debit Card,Returned
2025-05-08,OID10187,CID8819,Home Appliances,Microwave,North,1,1557,Credit Card,In Transit
2024-07-26,OID10188,CID8829,Footwear,Slippers,South,2,227,Credit Card,Cancelled
2024-02-27,OID10189,CID5800,Home Appliances,Washing Machine,West,2,898,Credit Card,In Transit
2024-06-30,OID10190,CID7433,Grocery,Wheat,North,2,840,Credit Card,Delivered
2025-03-15,OID10191,CID6350,Home Appliances,Washing Machine,North,3,835,Net Banking,Returned
2024-06-20,OID10192,CID5026,Footwear,Sandals,North,4,176,Net Banking,Cancelled
2024-03-01,OID10193,CID5736,Electronics,Smartwatch,East,1,36699,Net Banking,Cancelled
2024-02-03,OID10194,CID8896,Electronics,Headphones,South,2,23716,Debit Card,Delivered
2024-08-06,OID10195,CID8887,Books,Notebook,East,1,476,Debit Card,Cancelled
2025-04-12,OID10196,CID8090,Grocery,Rice,East,1,573,Credit Card,Cancelled
2025-02-04,OID10197,CID8550,Grocery,Wheat,West,4,1772,UPI,Delivered
2024-02-09,OID10198,CID7726,Home Appliances,Washing Machine,West,3,1419,COD,Returned
2024-06-09,OID10199,CID7226,Books,Magazine,South,5,681,Net Banking,In Transit
2024-09-14,OID10200,CID6687,Footwear,Slippers,North,2,1476,Net Banking,In Transit
2025-05-11,OID10201,CID6559,Electronics,Headphones,North,5,27250,Debit Card,In Transit
2024-09-09,OID10202,CID5080,Clothing,Jeans,East,1,1751,Credit Card,In Transit
2024-07-06,OID10203,CID8990,Clothing,Kurta,South,5,1473,Net Banking,Returned
2025-05-11,OID10204,CID7946,Electronics,Tablet,West,1,15590,UPI,Delivered
2024-08-16,OID10205,CID7862,Clothing,Jacket,West,3,659,COD,In Transit
2024-04-17,OID10206,CID7592,Grocery,Milk,East,1,719,Credit Card,Returned
2024-11-03,OID10207,CID5810,Clothing,Jacket,North,5,1424,UPI,Delivered
2024-07-11,OID10208,CID7727,Electronics,Smartwatch,East,2,24890,UPI,In Transit
2025-01-11,OID10209,CID7832,Clothing,T-shirt,South,4,1226,COD,Cancelled
2025-04-02,OID10210,CID8008,Books,Novel,South,5,1065,Debit Card,In Transit
2025-06-12,OID10211,CID8432,Footwear,Shoes,East,3,1536,UPI,Delivered
2025-04-20,OID10212,CID7060,Footwear,Sandals,North,1,1482,UPI,Cancelled
2024-02-14,OID10213,CID6455,Grocery,Rice,East,4,1030,UPI,Delivered
2024-12-17,OID10214,CID8792,Clothing,T-shirt,South,2,1232,Net Banking,Cancelled
2024-10-10,OID10215,CID7481,Clothing,Jacket,East,1,860,Debit Card,Returned
2024-09-05,OID10216,CID9269,Electronics,Smartwatch,North,2,43405,UPI,In Transit
2024-12-25,OID10217,CID7797,Home Appliances,Mixer,West,4,810,COD,Cancelled
2024-03-06,OID10218,CID6982,Electronics,Mobile,South,4,16191,COD,Cancelled
2025-02-20,OID10219,CID5994,Books,Textbook,West,3,1281,Net Banking,Delivered
2025-04-21,OID10220,CID8670,Grocery,Milk,North,1,1635,Net Banking,Cancelled
2024-03-24,OID10221,CID5268,Grocery,Snacks,South,1,802,Credit Card,Returned
2024-06-17,OID10222,CID8999,Clothing,Jeans,West,2,1306,Debit Card,In Transit
2025-06-14,OID10223,CID5282,Grocery,Snacks,South,2,1208,UPI,In Transit
2024-03-15,OID10224,CID6333,Books,Notebook,East,5,1671,Credit Card,Delivered
2024-11-10,OID10225,CID8876,Books,Magazine,West,3,535,COD,In Transit
2024-06-23,OID10226,CID7971,Electronics,Tablet,North,1,9191,UPI,Returned
2024-07-05,OID10227,CID8916,Home Appliances,Refrigerator,West,5,1434,UPI,Delivered
2024-01-25,OID10228,CID5318,Books,Textbook,East,2,593,UPI,Delivered
2024-03-25,OID10229,CID8809,Clothing,T-shirt,East,4,1486,Net Banking,Delivered
2024-01-11,OID10230,CID7639,Footwear,Shoes,North,1,1859,Credit Card,Returned
2024-03-03,OID10231,CID9570,Electronics,Smartwatch,East,1,11107,Debit Card,In Transit
2024-06-08,OID10232,CID6684,Clothing,Jeans,South,4,798,Net Banking,Cancelled
2024-04-11,OID10233,CID7715,Footwear,Slippers,West,1,670,Debit Card,In Transit
2025-03-02,OID10234,CID9804,Books,Notebook,West,5,855,UPI,Delivered
2025-01-30,OID10235,CID8607,Clothing,Jeans,East,4,1258,Net Banking,In Transit
2025-04-21,OID10236,CID9987,Grocery,Snacks,West,5,131,COD,In Transit
2025-06-15,OID10237,CID9151,Books,Novel,South,2,867,UPI,Returned
2024-03-05,OID10238,CID9941,Clothing,Kurta,East,2,744,Credit Card,In Transit
2024-02-04,OID10239,CID7463,Electronics,Tablet,South,5,36439,Net Banking,Cancelled
2024-05-04,OID10240,CID8453,Home Appliances,Washing Machine,North,1,788,Debit Card,Cancelled
2024-12-18,OID10241,CID7973,Home Appliances,Washing Machine,East,2,601,Debit Card,Cancelled
2025-03-12,OID10242,CID9700,Grocery,Wheat,East,4,1623,UPI,In Transit
2024-06-25,OID10243,CID9619,Clothing,Saree,South,1,1664,Net Banking,Delivered
2025-03-30,OID10244,CID5276,Electronics,Laptop,East,3,14534,UPI,In Transit
2024-12-07,OID10245,CID7156,Books,Magazine,South,1,788,Net Banking,Delivered
2024-01-29,OID10246,CID6767,Footwear,Shoes,West,3,1174,Debit Card,Cancelled
2024-11-29,OID10247,CID6245,Footwear,Shoes,North,2,1296,Net Banking,Cancelled
2025-04-02,OID10248,CID7469,Footwear,Sandals,South,4,1629,Net Banking,Delivered
2024-02-11,OID10249,CID8174,Grocery,Wheat,East,4,1920,UPI,Delivered
2024-05-27,OID10250,CID7758,Books,Textbook,North,2,711,COD,In Transit
2025-02-28,OID10251,CID8836,Home Appliances,Washing Machine,North,5,1224,Credit Card,Returned
2024-04-26,OID10252,CID8593,Footwear,Shoes,West,4,1184,COD,Delivered
2024-05-25,OID10253,CID5268,Grocery,Milk,East,5,1864,COD,Returned
2024-10-06,OID10254,CID5684,Footwear,Sandals,South,4,936,Debit Card,Delivered
2025-03-08,OID10255,CID7499,Grocery,Wheat,North,4,215,Debit Card,Returned
2024-01-01,OID10256,CID6908,Footwear,Shoes,East,5,712,UPI,Cancelled
2024-09-06,OID10257,CID7812,Books,Novel,West,4,1139,Net Banking,In Transit
2025-05-17,OID10258,CID8762,Home Appliances,Washing Machine,North,4,363,Net Banking,Delivered
2024-12-03,OID10259,CID8363,Footwear,Slippers,East,5,1809,Credit Card,Delivered
2024-08-20,OID10260,CID8492,Electronics,Headphones,South,5,9949,Debit Card,In Transit
2024-10-28,OID10261,CID9625,Electronics,Tablet,West,4,48390,COD,Delivered
2025-02-28,OID10262,CID6065,Home Appliances,Microwave,West,3,1015,UPI,Returned
2024-09-25,OID10263,CID7454,Grocery,Wheat,South,2,1941,COD,Returned
2024-08-07,OID10264,CID5656,Electronics,Laptop,North,4,29949,Net Banking,Returned
2024-05-08,OID10265,CID6921,Home Appliances,Mixer,North,4,1978,UPI,Cancelled
2024-10-16,OID10266,CID6547,Electronics,Headphones,East,1,29166,UPI,Cancelled
2025-06-12,OID10267,CID9930,Electronics,Headphones,East,1,16987,UPI,Cancelled
2024-01-07,OID10268,CID6471,Grocery,Wheat,South,3,432,COD,In Transit
2025-03-24,OID10269,CID6053,Footwear,Sandals,South,3,1477,Debit Card,Returned
2024-11-02,OID10270,CID9680,Clothing,Jacket,South,1,1381,COD,Delivered
2024-02-09,OID10271,CID6335,Footwear,Slippers,South,4,597,Debit Card,In Transit
2025-02-08,OID10272,CID6845,Grocery,Snacks,East,3,215,Debit Card,Returned
2024-01-16,OID10273,CID5755,Grocery,Wheat,North,2,1648,Net Banking,Returned
2024-04-09,OID10274,CID8100,Home Appliances,Microwave,West,1,122,Debit Card,Returned
2025-04-12,OID10275,CID6109,Electronics,Mobile,South,2,15698,COD,Delivered
2025-04-26,OID10276,CID7705,Grocery,Rice,North,2,668,Net Banking,Delivered
2024-01-24,OID10277,CID9067,Clothing,T-shirt,East,3,1913,COD,In Transit
2024-11-30,OID10278,CID7155,Grocery,Wheat,North,3,1914,Credit Card,Cancelled
2025-05-18,OID10279,CID8054,Home Appliances,Microwave,West,4,675,Debit Card,Delivered
2024-06-18,OID10280,CID9364,Footwear,Slippers,North,3,1244,Credit Card,Delivered
2024-09-02,OID10281,CID5427,Home Appliances,Mixer,North,5,1019,Net Banking,Returned
2024-07-16,OID10282,CID9387,Grocery,Snacks,North,4,906,COD,Returned
2024-03-25,OID10283,CID8789,Home Appliances,Microwave,East,2,623,Net Banking,Returned
2025-05-22,OID10284,CID8024,Grocery,Snacks,West,1,107,Net Banking,Cancelled
2025-02-11,OID10285,CID7777,Books,Magazine,West,2,417,Credit Card,Delivered
2024-12-01,OID10286,CID9120,Books,Textbook,South,1,206,COD,Delivered
2024-05-27,OID10287,CID8894,Electronics,Laptop,West,1,5514,COD,Cancelled
2024-07-26,OID10288,CID5006,Grocery,Rice,West,5,1018,COD,Returned
2024-03-03,OID10289,CID8574,Books,Magazine,North,1,148,Credit Card,Cancelled
2025-04-28,OID10290,CID5610,Electronics,Headphones,West,3,28993,Debit Card,Cancelled
2025-01-15,OID10291,CID7540,Grocery,Snacks,West,1,851,COD,Delivered
2024-07-02,OID10292,CID7778,Clothing,Saree,South,3,1652,Net Banking,In Transit
2025-05-31,OID10293,CID5410,Home Appliances,Refrigerator,West,1,483,Credit Card,Cancelled
2025-03-19,OID10294,CID7016,Home Appliances,Mixer,North,4,565,Net Banking,In Transit
2025-04-19,OID10295,CID8753,Clothing,Jeans,North,4,561,Debit Card,Cancelled
2025-03-19,OID10296,CID7196,Clothing,Kurta,East,5,1835,Debit Card,Returned
2025-03-29,OID10297,CID8075,Home Appliances,Washing Machine,North,3,350,UPI,Delivered
2024-06-24,OID10298,CID5153,Books,Notebook,South,1,437,UPI,Returned
2024-11-03,OID10299,CID8645,Books,Textbook,West,1,397,Credit Card,Cancelled
2024-01-18,OID10300,CID8291,Books,Notebook,North,4,1607,Debit Card,Cancelled
2024-04-19,OID10301,CID9685,Home Appliances,Mixer,East,3,157,COD,Returned
2024-07-13,OID10302,CID6403,Clothing,Kurta,East,2,1905,Debit Card,In Transit
2024-07-06,OID10303,CID6770,Clothing,Kurta,South,3,984,Credit Card,In Transit
2024-05-17,OID10304,CID7963,Books,Textbook,North,2,1509,Debit Card,In Transit
2024-08-11,OID10305,CID9354,Footwear,Sandals,North,1,1742,Net Banking,Cancelled
2024-11-14,OID10306,CID5371,Electronics,Tablet,East,3,3612,Net Banking,Returned
2024-10-28,OID10307,CID8234,Footwear,Sandals,North,4,696,COD,In Transit
2024-07-02,OID10308,CID9983,Books,Notebook,North,2,479,Net Banking,Cancelled
2025-03-24,OID10309,CID6996,Books,Novel,South,5,417,COD,Returned
2025-02-15,OID10310,CID8701,Electronics,Mobile,North,1,16749,COD,Returned
2024-12-12,OID10311,CID9920,Clothing,T-shirt,West,4,303,Net Banking,Delivered
2024-08-21,OID10312,CID7272,Home Appliances,Washing Machine,North,2,425,Net Banking,In Transit
2024-12-30,OID10313,CID7184,Books,Magazine,West,4,548,UPI,Returned
2024-07-28,OID10314,CID5047,Grocery,Snacks,South,2,960,Debit Card,In Transit
2024-01-06,OID10315,CID6547,Books,Novel,East,2,364,Debit Card,Cancelled
2024-03-13,OID10316,CID6012,Books,Notebook,West,2,1868,Credit Card,Returned
2024-05-22,OID10317,CID5691,Grocery,Wheat,South,3,1907,Debit Card,Returned
